num_vuelo;dia_sem;destino;codigo;opera_desde;opera_hasta;hora_salida;aeronave;pais;origen
  VLG3141;2;MALAGA-COSTA DEL SOL;AGP;2022-02-08;2022-03-22;12:40;320;ESPANIA;ACE
  RYR6771;5;MALAGA-COSTA DEL SOL;AGP;2021-11-05;2022-03-25;13:05;73H;ESPANIA;ACE
  RYR2132;2;MANCHESTER /INTERNACIONAL;MAN;2022-02-01;2022-03-22;11:20;73H;REINO-UNIDO;ACE
  RYR2132;5;MANCHESTER /INTERNACIONAL;MAN;2021-11-05;2022-03-25;11:35;73H;REINO-UNIDO;ACE
  EZY1972;6;MANCHESTER /INTERNACIONAL;MAN;2022-01-01;2022-03-26;11:50;320;REINO-UNIDO;ACE
  RUK2132;4;MANCHESTER /INTERNACIONAL;MAN;2022-02-03;2022-03-24;12:05;73H;REINO-UNIDO;ACE
  RYR2132;7;MANCHESTER /INTERNACIONAL;MAN;2021-12-05;2022-03-20;12:15;73H;REINO-UNIDO;ACE
  RUK2132;3;MANCHESTER /INTERNACIONAL;MAN;2022-02-02;2022-03-23;12:30;73H;REINO-UNIDO;ACE
  RYR2132;6;MANCHESTER /INTERNACIONAL;MAN;2022-01-01;2022-03-26;12:50;73H;REINO-UNIDO;ACE
  EZY1972;4;MANCHESTER /INTERNACIONAL;MAN;2022-02-10;2022-03-24;12:50;320;REINO-UNIDO;ACE
  RYR2132;1;MANCHESTER /INTERNACIONAL;MAN;2021-11-01;2022-03-21;13:00;73H;REINO-UNIDO;ACE
